stop_id;stop_name;stop_lat;stop_lon;stop_code;location_type;parent_station;wheelchair_boarding;stop_direction
2133;Örs vezér tere M+H, déli tárolótér;47.500366;19.135700;2133;;CS003106;2;
2136;Fogas üzem (kapu);47.509119;19.014403;;;;;
2138;Kőbánya alsó vasútállomás;47.483354;19.127803;2138;;CSF01800;2;
3002;Puskás Ferenc Stadion M;47.500368;19.103406;3002;;CS003002;2;
3105;Bécsi út / Vörösvári út;47.548817;19.029722;3105;;CSF00571;2;
3106;Örs vezér tere M+H, északi tároló;47.505160;19.136637;3106;;CS003106;2;
3118;Óbuda, Bogdáni út;47.551471;19.041971;3118;;CS003118;2;
4716;ÉD metró járműtelep,porta;47.469651;19.129090;;;;2;
4948;Metró ÉD járműtelep (kapu);47.465239;19.142612;;;;;
4952;Metró KNY járműtelep (kapu);47.502234;19.132179;;;;;
5064;Andor utcai autóbuszgarázs;47.457789;19.027553;5064;;CS005064;;
5924;Mill.FAV járműtelep (kapu);47.518788;19.093168;;;;;
6390;Cinkota kocsiszín (kapu);47.519345;19.217072;6390;;CSF03304;;
7177;Csepel kocsiszín (kapu);47.421498;19.066247;7177;;CS067387;;
7675;Dunaharaszti külső kocsiszín (kapu);47.362751;19.088475;;;;;
7762;Szentendre kocsiszín (kapu);47.658755;19.072392;7762;;CS089098;;
7817;Márta utca;47.428685;18.929674;;;;2;49
7877;Bíróság;47.519564;18.978068;7877;;CS007877;2;-78
7878;Bíróság;47.519456;18.978041;7878;;CS007877;2;101
7879;Római úti lakótelep, Varsa utca;47.570863;19.058543;;;;2;93
7880;Bécsi út / Vörösvári út;47.547647;19.028766;7880;;CSF00571;2;
7881;Váradi utca;47.543771;19.030123;7881;;CSF00591;2;-10
7882;Váradi utca;47.542691;19.029977;7882;;CSF00591;2;168
7883;Perényi út;47.545812;19.029591;;;;2;-8
7884;Deák Ferenc tér M;47.497413;19.055158;7884;;CS009230;1;
7887;Mester utca / Ferenc körút;47.482246;19.068716;7887;;CSF01380;2;15
7888;Mester utca / Ferenc körút;47.482570;19.068477;7888;;CSF01380;2;-163
7890;Mester utca / Ferenc körút;47.481671;19.068782;7890;;CSF01380;2;
7897;Kelenföld vasútállomás M;47.464597;19.022948;7897;;CS007967;2;98
7899;Kelenföld vasútállomás M;47.464744;19.022994;7899;;CS007967;2;
7900;Maros utcai rendelőintézet;47.503728;19.022391;;;;2;143
7902;Újpest-Városkapu M;47.558600;19.078220;7902;;CS011762;2;
7913;526. sor;47.479281;19.211332;7913;;CS007914;2;118
7914;526. sor;47.479300;19.211468;7914;;CS007914;2;-58
7919;Pólus Center;47.552619;19.143665;;;;2;-100
7923;Kele utca;47.431808;19.173804;;;;1;29
7924;Ültetvény utca;47.396915;19.175497;7924;;CS007924;2;44
